,percentage,pks+island,pid,type,percentage2
C551_D1_G2_D1,5.244196808700329e-07,No,C551,cancer,0.0
C551_D1_G5_D1,1.4823547015321313e-07,No,C551,adjacent normal,0.0
C551_D1_G9_D1,1.41262663032602e-07,No,C551,cancer,0.0
C551_E1_B1_D1,6.449288728979556e-08,No,C551,distant normal,0.0
C552_A1_G1_D1,2.529356407283284e-06,No,C552,adjacent normal,0.0
C552_B1_G10_D1,1.0360433725972004e-05,No,C552,adjacent normal,0.0
C552_B1_G8_D1,1.8801091407002872e-05,No,C552,adjacent normal,0.0
C552_B1_G9_D1,1.3758925360439526e-05,No,C552,adjacent normal,0.0
C552_C1_G1_D1,1.6389145966081617e-05,No,C552,adjacent normal,0.0
C552_C1_G3_D1,6.751188782055484e-05,No,C552,cancer,0.0
C552_C1_G8_D1,1.9849606006279445e-05,No,C552,adjacent normal,0.0
C552_D1_G5_D1,3.7453965055498337e-06,No,C552,cancer,0.0
C552_D1_G7_D1,6.895892420530886e-06,No,C552,cancer,0.0
C552_E1_G3_D1,2.4845459354790662e-05,No,C552,distant normal,0.0
C552_Z1_B1_D1,3.571388091445216e-09,No,C552,cancer,0.0
C555_A1_B1_D1,2.844793754050488e-08,No,C555,cancer,0.0
C555_A234_L1_D1,8.351844839089198e-08,No,C555,cancer,0.0
C555_B1_G10_D1,6.04763572737343e-08,No,C555,adjacent normal,0.0
C555_C1_G1_D1,9.965450842084836e-08,No,C555,adjacent normal,0.0
C555_C1_G7_D1,9.235749766142844e-08,No,C555,adjacent normal,0.0
C555_C1_G9_D1,6.058032837922747e-08,No,C555,adjacent normal,0.0
C555_C234_L1_D1,1.4355825673160219e-06,No,C555,cancer,0.0
C555_D1_G10_D1,6.616831918567192e-08,No,C555,cancer,0.0
C555_D1_G1_D1,1.5383182030244842e-07,No,C555,cancer,0.0
C555_D1_G7_D1,5.972705316907393e-08,No,C555,cancer,0.0
C555_D1_G8_D1,7.560492070187648e-08,No,C555,cancer,0.0
C555_D1_G9_D1,2.4654669171376512e-08,No,C555,cancer,0.0
C555_Z1_B1_D1,9.818670051144382e-08,No,C555,cancer,0.0
C560_A1_G10_D1,6.403788575436226e-06,No,C560,cancer,0.0
C560_A1_G6_D1,5.258257531892353e-06,No,C560,cancer,0.0
C560_A1_G8_D1,2.9000707488008148e-06,No,C560,adjacent normal,0.0
C560_B1_G3_D1,5.145250330460554e-06,No,C560,cancer,0.0
C560_B1_G7_D1,1.686119738879521e-06,No,C560,cancer,0.0
C560_C1_G4_D1,8.952356738387489e-07,No,C560,cancer,0.0
C560_C1_G6_D1,7.053778500815912e-05,No,C560,cancer,0.0
C560_D1_G5_D1,8.551184004440839e-05,No,C560,adjacent normal,0.0
C560_D1_G9_D1,5.0302330467185e-05,No,C560,adjacent normal,0.0
C560_E1_B1_D1,3.1054377830259356e-06,No,C560,distant normal,0.0
C561_A1_G8_D1,2.0337248706074688e-05,Yes,C561,cancer,2.0337248706074688e-05
C561_A1_G9_D1,4.172219677406275e-05,Yes,C561,cancer,4.172219677406275e-05
C561_B1_G6_D1,4.363962048571919e-06,Yes,C561,cancer,4.363962048571919e-06
C561_B1_G8_D1,3.010877162919105e-06,Yes,C561,cancer,3.010877162919105e-06
C561_B1_G9_D1,5.0372252362469265e-06,Yes,C561,cancer,5.0372252362469265e-06
C561_C1_G10_D1,1.680575731137251e-06,Yes,C561,cancer,1.680575731137251e-06
C561_C1_G1_D1,2.513337286114735e-07,Yes,C561,cancer,2.513337286114735e-07
C561_D1_G10_D1,8.672549326003511e-06,Yes,C561,cancer,8.672549326003511e-06
C561_D1_G5_D1,4.309667704122812e-06,Yes,C561,cancer,4.309667704122812e-06
C561_D1_G6_D1,5.193011692696957e-07,Yes,C561,cancer,5.193011692696957e-07
C561_E1_B1_D1,5.131975767113016e-07,Yes,C561,distant normal,5.131975767113016e-07
C561_E1_G3_D1,1.15818205134416e-06,Yes,C561,distant normal,1.15818205134416e-06
C562_A1_G3_D1,4.63863538057489e-06,Yes,C562,cancer,4.63863538057489e-06
C562_A1_G5_D1,2.5141211636898745e-06,Yes,C562,cancer,2.5141211636898745e-06
C562_A1_G7_D1,2.0702099824474516e-06,Yes,C562,cancer,2.0702099824474516e-06
C562_B1_G2_D1,5.759693220030782e-06,Yes,C562,cancer,5.759693220030782e-06
C562_B1_G3_D1,4.203905971672935e-06,Yes,C562,adjacent normal,4.203905971672935e-06
C562_B1_G4_D1,2.7482456305558306e-06,Yes,C562,adjacent normal,2.7482456305558306e-06
C562_C1_G6_D1,7.815390916701225e-07,Yes,C562,adjacent normal,7.815390916701225e-07
C562_D1_G2_D1,5.681080118910011e-07,Yes,C562,adjacent normal,5.681080118910011e-07
C562_D1_G3_D1,9.982314333694993e-07,Yes,C562,cancer,9.982314333694993e-07
C562_D1_G6_D1,1.1021958621898815e-06,Yes,C562,cancer,1.1021958621898815e-06
C562_E1_B1_D1,3.547561875343811e-06,Yes,C562,distant normal,3.547561875343811e-06
C562_E1_G2_D1,2.5450459856774943e-06,No,C562,distant normal,0.0
