,SPS,Percentage,source
307,SPS7,0.0,Cancer subclonal
314,SPS7,0.0,Cancer clonal
321,SPS7,0.0,Cancer subclonal
328,SPS7,0.11928952300000001,Cancer clonal
335,SPS7,0.12167930800000001,Cancer subclonal
342,SPS7,0.09941212199999999,Cancer clonal
349,SPS7,0.058412238,Cancer subclonal
356,SPS7,0.147738703,Cancer clonal
363,SPS7,0.137853173,Cancer subclonal
370,SPS7,0.08632069699999999,Cancer clonal
377,SPS7,0.175897553,Cancer subclonal
384,SPS7,0.10615535699999999,Cancer clonal
391,SPS7,0.17243725,Cancer subclonal
398,SPS7,0.167948832,Cancer clonal
405,SPS7,0.220712355,Cancer subclonal
412,SPS7,0.093734267,Cancer clonal
419,SPS7,0.014826043999999998,Cancer subclonal
426,SPS7,0.123586826,Cancer clonal
433,SPS7,0.050119715999999995,Cancer subclonal
440,SPS7,0.110356008,Cancer clonal
447,SPS7,0.223606081,Cancer subclonal
454,SPS7,0.07490594099999999,Cancer clonal
461,SPS7,0.06366108,Cancer subclonal
468,SPS7,0.071125725,Cancer clonal
475,SPS7,0.06391543200000001,Cancer subclonal
482,SPS7,0.074780745,Cancer clonal
489,SPS7,0.064017604,Cancer subclonal
496,SPS7,0.07257744599999999,Cancer clonal
503,SPS7,0.072518254,Cancer subclonal
510,SPS7,0.071716022,Cancer clonal
517,SPS7,0.061818202999999995,Cancer subclonal
524,SPS7,0.072163954,Cancer clonal
531,SPS7,0.065337027,Cancer subclonal
538,SPS7,0.08398039800000001,Cancer clonal
545,SPS7,0.07684303,Cancer subclonal
552,SPS7,0.068618468,Cancer clonal
559,SPS7,0.065687997,Cancer subclonal
566,SPS7,0.082715205,Cancer clonal
573,SPS7,0.073668113,Cancer subclonal
580,SPS7,0.08289751,Cancer clonal
587,SPS7,0.070226647,Cancer subclonal
594,SPS7,0.067463316,Cancer clonal
601,SPS7,0.08758689300000001,Cancer subclonal
608,SPS7,0.05229646599999999,Cancer clonal
615,SPS7,0.088841343,Cancer subclonal
622,SPS7,0.058252556,Cancer clonal
629,SPS7,0.083842363,Cancer subclonal
636,SPS7,0.06355661,Cancer clonal
643,SPS7,0.09035127400000001,Cancer subclonal
650,SPS7,0.059881814000000005,Cancer clonal
657,SPS7,0.088141408,Cancer subclonal
664,SPS7,0.053192917,Cancer clonal
671,SPS7,0.089273831,Cancer subclonal
678,SPS7,0.057448667,Cancer clonal
685,SPS7,0.089905635,Cancer subclonal
692,SPS7,0.050151956,Cancer clonal
699,SPS7,0.089332428,Cancer subclonal
706,SPS7,0.079277115,Cancer clonal
713,SPS7,0.088027873,Cancer subclonal
720,SPS7,0.079448398,Cancer clonal
727,SPS7,0.09063673800000001,Cancer subclonal
734,SPS7,0.010386442,Cancer clonal
741,SPS7,0.015889606,Cancer subclonal
748,SPS7,0.011816498,Cancer clonal
755,SPS7,0.0,Cancer subclonal
762,SPS7,0.027858213,Cancer clonal
769,SPS7,0.0038814459999999998,Cancer subclonal
776,SPS7,0.036035465,Cancer clonal
783,SPS7,0.008585859,Cancer subclonal
790,SPS7,0.009920873,Cancer clonal
797,SPS7,0.002731172,Cancer subclonal
804,SPS7,0.010339249,Cancer clonal
811,SPS7,0.0,Cancer subclonal
818,SPS7,0.0,Cancer clonal
825,SPS7,0.025865121,Cancer subclonal
832,SPS7,0.001853482,Cancer clonal
839,SPS7,0.0,Cancer subclonal
846,SPS7,0.014507495,Cancer clonal
853,SPS7,0.0,Cancer subclonal
860,SPS7,0.014758108,Cancer clonal
867,SPS7,0.0028777909999999998,Cancer subclonal
874,SPS7,0.011894314,Cancer clonal
881,SPS7,0.000497056,Cancer subclonal
888,SPS7,0.007138969,Cancer clonal
895,SPS7,0.003310064,Cancer subclonal
902,SPS7,0.0010414460000000001,Cancer clonal
909,SPS7,0.020460858000000002,Cancer subclonal
916,SPS7,0.01085034,Cancer clonal
923,SPS7,0.013387675,Cancer subclonal
930,SPS7,0.10816755,Cancer clonal
937,SPS7,0.11132346,Cancer subclonal
944,SPS7,0.09570863,Cancer clonal
951,SPS7,0.109437971,Cancer subclonal
958,SPS7,0.102804256,Cancer clonal
965,SPS7,0.125612522,Cancer subclonal
972,SPS7,0.10429578800000001,Cancer clonal
979,SPS7,0.11124285099999999,Cancer subclonal
986,SPS7,0.109443549,Cancer clonal
993,SPS7,0.11033479199999999,Cancer subclonal
1000,SPS7,0.11076403900000001,Cancer clonal
1007,SPS7,0.11825218800000001,Cancer subclonal
1014,SPS7,0.115615651,Cancer clonal
1021,SPS7,0.124694485,Cancer subclonal
1028,SPS7,0.113567752,Cancer clonal
1035,SPS7,0.10672548400000001,Cancer subclonal
1042,SPS7,0.191266608,Cancer clonal
1049,SPS7,0.214049728,Cancer subclonal
1056,SPS7,0.149836437,Cancer clonal
1063,SPS7,0.33815502799999997,Cancer subclonal
1070,SPS7,0.145216352,Cancer clonal
1077,SPS7,0.148627596,Cancer subclonal
1084,SPS7,0.137108464,Cancer clonal
1091,SPS7,0.156015089,Cancer subclonal
1098,SPS7,0.152701893,Cancer clonal
1105,SPS7,0.16200794599999999,Cancer subclonal
1112,SPS7,0.14481294,Cancer clonal
1119,SPS7,0.126624276,Cancer subclonal
1126,SPS7,0.151370162,Cancer clonal
1133,SPS7,0.128000921,Cancer subclonal
1140,SPS7,0.147801864,Cancer clonal
1147,SPS7,0.133709531,Cancer subclonal
1154,SPS7,0.129095769,Cancer clonal
1161,SPS7,0.15425951,Cancer subclonal
1168,SPS7,0.136878161,Cancer clonal
1175,SPS7,0.15298291,Cancer subclonal
1182,SPS7,0.138298315,Cancer clonal
1189,SPS7,0.155487285,Cancer subclonal
1196,SPS7,0.12430169699999999,Cancer clonal
1203,SPS7,0.151660096,Cancer subclonal
1210,SPS7,0.121274798,Cancer clonal
1217,SPS7,0.091123174,Cancer subclonal
1224,SPS7,0.116509245,Cancer clonal
1231,SPS7,0.09428816300000001,Cancer subclonal
1238,SPS7,0.120427823,Cancer clonal
1245,SPS7,0.089032975,Cancer subclonal
1252,SPS7,0.104525595,Cancer clonal
1259,SPS7,0.085247893,Cancer subclonal
1266,SPS7,0.106444535,Cancer clonal
1273,SPS7,0.087131841,Cancer subclonal
1280,SPS7,0.10156775,Cancer clonal
1287,SPS7,0.085780966,Cancer subclonal
1294,SPS7,0.10635173199999999,Cancer clonal
1301,SPS7,0.0868037,Cancer subclonal
1308,SPS7,0.10335834599999999,Cancer clonal
1315,SPS7,0.085257024,Cancer subclonal
1322,SPS7,0.10582912800000001,Cancer clonal
1329,SPS7,0.075463498,Cancer subclonal
1336,SPS7,0.10604370800000001,Cancer clonal
1343,SPS7,0.080463313,Cancer subclonal
1350,SPS7,0.010257155,Cancer clonal
1357,SPS7,0.0,Cancer subclonal
1364,SPS7,0.010553853,Cancer clonal
1371,SPS7,0.0,Cancer subclonal
1378,SPS7,0.011716523000000001,Cancer clonal
1385,SPS7,0.0,Cancer subclonal
1392,SPS7,0.011049861999999999,Cancer clonal
1399,SPS7,0.0,Cancer subclonal
1406,SPS7,0.016153621,Cancer clonal
1413,SPS7,0.0,Cancer subclonal
1420,SPS7,0.0033250709999999998,Cancer clonal
1427,SPS7,0.0,Cancer subclonal
1434,SPS7,0.006076618000000001,Cancer clonal
1441,SPS7,0.0,Cancer subclonal
1448,SPS7,0.004132426,Cancer clonal
1455,SPS7,0.0,Cancer subclonal
1462,SPS7,0.00284224,Cancer clonal
1469,SPS7,0.0,Cancer subclonal
1476,SPS7,0.082493968,Cancer clonal
1483,SPS7,0.0,Cancer subclonal
1490,SPS7,0.070315265,Cancer clonal
1497,SPS7,0.0,Cancer subclonal
1504,SPS7,0.213186237,Cancer clonal
1511,SPS7,0.153372506,Cancer subclonal
1518,SPS7,0.219777807,Cancer clonal
1525,SPS7,0.16574677,Cancer subclonal
1532,SPS7,0.21542704399999998,Cancer clonal
1539,SPS7,0.216915203,Cancer subclonal
1546,SPS7,0.211758575,Cancer clonal
1553,SPS7,0.190714133,Cancer subclonal
1560,SPS7,0.207978975,Cancer clonal
1567,SPS7,0.20929423600000002,Cancer subclonal
1574,SPS7,0.214207322,Cancer clonal
1581,SPS7,0.158567809,Cancer subclonal
1588,SPS7,0.20902017899999997,Cancer clonal
1595,SPS7,0.256341382,Cancer subclonal
1602,SPS7,0.041797849,Cancer clonal
1609,SPS7,0.029121848999999998,Cancer subclonal
1616,SPS7,0.045478787,Cancer clonal
1623,SPS7,0.021029176,Cancer subclonal
1630,SPS7,0.041911653,Cancer clonal
1637,SPS7,0.028853023,Cancer subclonal
1644,SPS7,0.046666005,Cancer clonal
1651,SPS7,0.025435094,Cancer subclonal
1658,SPS7,0.041459927,Cancer clonal
1665,SPS7,0.026257088999999997,Cancer subclonal
1672,SPS7,0.042605738,Cancer clonal
1679,SPS7,0.021017061,Cancer subclonal
1686,SPS7,0.046363072000000005,Cancer clonal
1693,SPS7,0.019854549,Cancer subclonal
1700,SPS7,0.050902543,Cancer clonal
1707,SPS7,0.040198368,Cancer subclonal
1714,SPS7,0.042950525,Cancer clonal
1721,SPS7,0.045362553,Cancer subclonal
1728,SPS7,0.040773523,Cancer clonal
1735,SPS7,0.05031308599999999,Cancer subclonal
1742,SPS7,0.134336124,Cancer clonal
1749,SPS7,0.14593864199999998,Cancer subclonal
1756,SPS7,0.135968477,Cancer clonal
1763,SPS7,0.14749559199999998,Cancer subclonal
1770,SPS7,0.132227286,Cancer clonal
1777,SPS7,0.14830400800000001,Cancer subclonal
1784,SPS7,0.138456852,Cancer clonal
1791,SPS7,0.118912726,Cancer subclonal
1798,SPS7,0.141169637,Cancer clonal
1805,SPS7,0.14791506199999999,Cancer subclonal
1812,SPS7,0.139529817,Cancer clonal
1819,SPS7,0.08776029699999999,Cancer subclonal
1826,SPS7,0.130374052,Cancer clonal
1833,SPS7,0.08643548300000001,Cancer subclonal
1840,SPS7,0.14066694400000002,Cancer clonal
1847,SPS7,0.092034023,Cancer subclonal
1854,SPS7,0.13468482699999998,Cancer clonal
1861,SPS7,0.086283725,Cancer subclonal
1868,SPS7,0.128198323,Cancer clonal
1875,SPS7,0.109166797,Cancer subclonal
1882,SPS7,0.12816479,Cancer clonal
1889,SPS7,0.092095419,Cancer subclonal
1896,SPS7,0.13356991099999999,Cancer clonal
1903,SPS7,0.112156851,Cancer subclonal
1910,SPS7,0.12784554,Cancer clonal
1917,SPS7,0.102382322,Cancer subclonal
1924,SPS7,0.126165832,Cancer clonal
1931,SPS7,0.091017473,Cancer subclonal
1938,SPS7,0.021071429,Cancer clonal
1945,SPS7,0.013146403000000001,Cancer subclonal
1952,SPS7,0.02292099,Cancer clonal
1959,SPS7,0.019889845,Cancer subclonal
1966,SPS7,0.020211445,Cancer clonal
1973,SPS7,0.021238817000000004,Cancer subclonal
1980,SPS7,0.053515829,Cancer clonal
1987,SPS7,0.0,Cancer subclonal
1994,SPS7,0.024914723,Cancer clonal
2001,SPS7,0.011310725,Cancer subclonal
2008,SPS7,0.022081097999999997,Cancer clonal
2015,SPS7,0.01833256,Cancer subclonal
2022,SPS7,0.042037,Cancer clonal
2029,SPS7,0.021153497,Cancer subclonal
2036,SPS7,0.030963672999999997,Cancer clonal
2043,SPS7,0.021715585,Cancer subclonal
2050,SPS7,0.026945293,Cancer clonal
2057,SPS7,0.029604932999999996,Cancer subclonal
2064,SPS7,0.018573954,Cancer clonal
2071,SPS7,0.021210542000000002,Cancer subclonal
2078,SPS7,0.02214856,Cancer clonal
2085,SPS7,0.013318162,Cancer subclonal
2092,SPS7,0.023936112000000002,Cancer clonal
2099,SPS7,0.039173083,Cancer subclonal
2106,SPS7,0.027029612999999997,Cancer clonal
2113,SPS7,0.038881829,Cancer subclonal
2120,SPS7,0.07852390599999999,Cancer clonal
2127,SPS7,0.09510297699999999,Cancer subclonal
2134,SPS7,0.092565177,Cancer clonal
2141,SPS7,0.09783589300000001,Cancer subclonal
2148,SPS7,0.08338024,Cancer clonal
2155,SPS7,0.076297842,Cancer subclonal
2162,SPS7,0.08068046,Cancer clonal
2169,SPS7,0.08330668299999999,Cancer subclonal
2176,SPS7,0.093514776,Cancer clonal
2183,SPS7,0.085854224,Cancer subclonal
2190,SPS7,0.093099686,Cancer clonal
2197,SPS7,0.082300054,Cancer subclonal
2204,SPS7,0.139174396,Cancer clonal
